Common Name,Domain,Kingdom,Phylum,Class,Family,Genus,Subgenus,Species
"Red Fox","Eukarya","Animalia","Chordata","Mammalia","Canidae","Vulpes","Vulpes","Vulpes vulpes"
"African Elephant","Eukarya","Animalia","Chordata","Mammalia","Elephantidae","Loxodonta","Loxodonta","Loxodonta africana"
"Monarch Butterfly","Eukarya","Animalia","Arthropoda","Insecta","Nymphalidae","Danaus","Danaus","Danaus plexippus"
"Great White Shark","Eukarya","Animalia","Chordata","Chondrichthyes","Lamnidae","Carcharodon","Carcharodon","Carcharodon carcharias"
"Oak Tree","Eukarya","Plantae","Tracheophyta","Angiosperms","Fagaceae","Quercus","Quercus","Quercus robur"
Common Name,Domain,Kingdom,Phylum,Class,Family,Genus,Subgenus,Species
"Giant Panda","Eukarya","Animalia","Chordata","Mammalia","Ursidae","Ailuropoda","Ailuropoda","Ailuropoda melanoleuca"
"Bald Eagle","Eukarya","Animalia","Chordata","Aves","Accipitridae","Haliaeetus","Haliaeetus","Haliaeetus leucocephalus"
"Emperor Penguin","Eukarya","Animalia","Chordata","Aves","Spheniscidae","Aptenodytes","Aptenodytes","Aptenodytes forsteri"
"Blue Whale","Eukarya","Animalia","Chordata","Mammalia","Balaenopteridae","Balaenoptera","Balaenoptera","Balaenoptera musculus"
"Cheetah","Eukarya","Animalia","Chordata","Mammalia","Felidae","Acinonyx","Acinonyx","Acinonyx jubatus"
"Northern Cardinal","Eukarya","Animalia","Chordata","Aves","Cardinalidae","Cardinalis","Cardinalis","Cardinalis cardinalis"
"Koala","Eukarya","Animalia","Chordata","Mammalia","Phascolarctidae","Phascolarctos","Phascolarctos","Phascolarctos cinereus"
"Golden Retriever","Eukarya","Animalia","Chordata","Mammalia","Canidae","Canis","Canis","Canis lupus familiaris"
"Siberian Tiger","Eukarya","Animalia","Chordata","Mammalia","Felidae","Panthera","Panthera","Panthera tigris altaica"
"Common Clownfish","Eukarya","Animalia","Chordata","Actinopterygii","Pomacentridae","Amphiprion","Amphiprion","Amphiprion ocellaris"
"Snow Leopard","Eukarya","Animalia","Chordata","Mammalia","Felidae","Panthera","Panthera","Panthera uncia"
"American Alligator","Eukarya","Animalia","Chordata","Reptilia","Alligatoridae","Alligator","Alligator","Alligator mississippiensis"
"Red Kangaroo","Eukarya","Animalia","Chordata","Mammalia","Macropodidae","Macropus","Macropus","Macropus rufus"
"Atlantic Puffin","Eukarya","Animalia","Chordata","Aves","Alcidae","Fratercula","Fratercula","Fratercula arctica"
"Common Dolphin","Eukarya","Animalia","Chordata","Mammalia","Delphinidae","Delphinus","Delphinus","Delphinus delphis"
"Giraffe","Eukarya","Animalia","Chordata","Mammalia","Giraffidae","Giraffa","Giraffa","Giraffa camelopardalis"
"Hippopotamus","Eukarya","Animalia","Chordata","Mammalia","Hippopotamidae","Hippopotamus","Hippopotamus","Hippopotamus amphibius"
"Blue Jay","Eukarya","Animalia","Chordata","Aves","Corvidae","Cyanocitta","Cyanocitta","Cyanocitta cristata"
"Brown Bear","Eukarya","Animalia","Chordata","Mammalia","Ursidae","Ursus","Ursus","Ursus arctos"
"Green Sea Turtle","Eukarya","Animalia","Chordata","Reptilia","Cheloniidae","Chelonia","Chelonia","Chelonia mydas"
"King Cobra","Eukarya","Animalia","Chordata","Reptilia","Elapidae","Ophiophagus","Ophiophagus","Ophiophagus hannah"
"American Bison","Eukarya","Animalia","Chordata","Mammalia","Bovidae","Bison","Bison","Bison bison"
"Scarlet Macaw","Eukarya","Animalia","Chordata","Aves","Psittacidae","Ara","Ara","Ara macao"
"African Lion","Eukarya","Animalia","Chordata","Mammalia","Felidae","Panthera","Panthera","Panthera leo"
"Grey Wolf","Eukarya","Animalia","Chordata","Mammalia","Canidae","Canis","Canis","Canis lupus"
"Chimpanzee","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Pan","Pan","Pan troglodytes"
"Mountain Gorilla","Eukarya","Animalia","Chordata","Mammalia","Hominidae","Gorilla","Gorilla","Gorilla beringei beringei"
"Arctic Fox","Eukarya","Animalia","Chordata","Mammalia","Canidae","Vulpes","Vulpes","Vulpes lagopus"
"Great Horned Owl","Eukarya","Animalia","Chordata","Aves","Strigidae","Bubo","Bubo","Bubo virginianus"
"Komodo Dragon","Eukarya","Animalia","Chordata","Reptilia","Varanidae","Varanus","Varanus","Varanus komodoensis"
"Red Panda","Eukarya","Animalia","Chordata","Mammalia","Ailuridae","Ailurus","Ailurus","Ailurus fulgens"
